"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1794","Home Page loads successfully","","Mon Mar 17 10:16:36 GMT 2025","passed","Mon Mar 17 10:16:38 GMT 2025","","com.funda.tests.ui.HomePageTests","com.funda.tests.ui.HomePageTests","homePageLoadsSuccessfully"
"","7368","Contact Form submission works","","Mon Mar 17 10:16:28 GMT 2025","passed","Mon Mar 17 10:16:35 GMT 2025","","com.funda.tests.ui.ContactFormTests","com.funda.tests.ui.ContactFormTests","contactFormSubmissionWorks"
"","5194","Map functionality works","","Mon Mar 17 10:17:54 GMT 2025","passed","Mon Mar 17 10:17:59 GMT 2025","","com.funda.tests.ui.MapFunctionalityTests","com.funda.tests.ui.MapFunctionalityTests","mapFunctionalityWorks"
"","3984","Search functionality works","","Mon Mar 17 10:16:51 GMT 2025","passed","Mon Mar 17 10:16:55 GMT 2025","","com.funda.tests.ui.SearchFunctionalityTests","com.funda.tests.ui.SearchFunctionalityTests","searchFunctionalityWorks"
"","2026","Home Page loads successfully","","Mon Mar 17 10:17:37 GMT 2025","passed","Mon Mar 17 10:17:39 GMT 2025","","com.funda.tests.ui.HomePageTests","com.funda.tests.ui.HomePageTests","homePageLoadsSuccessfully"
"","7692","Property details page opens","","Mon Mar 17 10:16:43 GMT 2025","passed","Mon Mar 17 10:16:51 GMT 2025","","com.funda.tests.ui.PropertyDetailsTests","com.funda.tests.ui.PropertyDetailsTests","propertyDetailsPageOpens"
"","4171","Search functionality works","","Mon Mar 17 10:17:46 GMT 2025","passed","Mon Mar 17 10:17:50 GMT 2025","","com.funda.tests.ui.SearchFunctionalityTests","com.funda.tests.ui.SearchFunctionalityTests","searchFunctionalityWorks"
"","7124","Property details page opens","","Mon Mar 17 10:17:30 GMT 2025","passed","Mon Mar 17 10:17:37 GMT 2025","","com.funda.tests.ui.PropertyDetailsTests","com.funda.tests.ui.PropertyDetailsTests","propertyDetailsPageOpens"
"","4533","Map functionality works","","Mon Mar 17 10:17:59 GMT 2025","passed","Mon Mar 17 10:18:04 GMT 2025","","com.funda.tests.ui.MapFunctionalityTests","com.funda.tests.ui.MapFunctionalityTests","mapFunctionalityWorks"
"","6099","Contact Form submission works","","Mon Mar 17 10:17:40 GMT 2025","passed","Mon Mar 17 10:17:46 GMT 2025","","com.funda.tests.ui.ContactFormTests","com.funda.tests.ui.ContactFormTests","contactFormSubmissionWorks"
